另据中国地震台网正式测定，15日16时14分在台湾宜兰县海域发生4.6级地震，震源深度为28公里，震中位于北纬24.31度，东经122.16度。	另 据 中 国 地 震 台 网 正 式 测 定 ， 1 5 日 1 6 时 1 4 分 在 台 湾 宜 兰 县 海 域 发 生 4 . 6 级 地 震 ， 震 源 深 度 为 2 8 公 里 ， 震 中 位 于 北 纬 2 4 . 3 1 度 ， 东 经 1 2 2 . 1 6 度 。	B E B E B E B E B E B E S B E S B E S B E B E B E B M E B E B E B M E S B E S B E B E S B E B E S B E B E B E B M M M E S S B E B M M M M E S S	另据 中国 地震 台网 正式 测定 ， 15 日 16 时 14 分在 台湾 宜兰县 海域 发生 4.6 级 地震 ， 震源 深度 为 28 公里 ， 震中 位于 北纬 24.31 度 ， 东经 122.16 度 。
阿里巴巴集团董事会主席蔡崇信、首席执行官吴泳铭宣布，集团将在杭州、上海、北京三地设立全球研发中心，并与清华大学、浙江大学共建人工智能实验室。	阿 里 巴 巴 集 团 董 事 会 主 席 蔡 崇 信 、 首 席 执 行 官 吴 泳 铭 宣 布 ， 集 团 将 在 杭 州 、 上 海 、 北 京 三 地 设 立 全 球 研 发 中 心 ， 并 与 清 华 大 学 、 浙 江 大 学 共 建 人 工 智 能 实 验 室 。	B M M M M M M M E B E B M E S B E B M E B M E B E S B E S S B E S B E S B E S S B E B E B M M E S S S B M M E S B M M E B E B M M E B M E S	阿里巴巴集团董事会 主席 蔡崇信 、 首席 执行官 吴泳铭 宣布 ， 集团 将 在 杭州 、 上海 、 北京 三 地 设立 全球 研发中心 ， 并 与 清华大学 、 浙江大学 共建 人工智能 实验室 。
国际原子能机构在社交媒体上表示，他们已获悉以色列南部核设施附近发生导弹袭击事件。	国 际 原 子 能 机 构 在 社 交 媒 体 上 表 示 ， 他 们 已 获 悉 以 色 列 南 部 核 设 施 附 近 发 生 导 弹 袭 击 事 件 。	B M M M M M E S B E B E S B E S B E S B E B M E B E B M E B E B E B E B E B E S	国际原子能机构 在 社交 媒体 上 表示 ， 他们 已 获悉 以色列 南部 核设施 附近 发生 导弹 袭击 事件 。
中国当前实施的是综合与分类相结合的个人所得税制度。	中 国 当 前 实 施 的 是 综 合 与 分 类 相 结 合 的 个 人 所 得 税 制 度 。	B E B E B E S S B E S B E B M E S B M M M E B E S	中国 当前 实施 的 是 综合 与 分类 相结合 的 个人所得税 制度 。
联合国教科文组织总干事阿祖莱、法国总统马克龙、德国总理朔尔茨在巴黎出席世界文化遗产大会，故宫博物院、卢浮宫、大英博物馆馆长发表主旨演讲。	联 合 国 教 科 文 组 织 总 干 事 阿 祖 莱 、 法 国 总 统 马 克 龙 、 德 国 总 理 朔 尔 茨 在 巴 黎 出 席 世 界 文 化 遗 产 大 会 ， 故 宫 博 物 院 、 卢 浮 宫 、 大 英 博 物 馆 馆 长 发 表 主 旨 演 讲 。	B M M M M M M E B M E B M E S B E B E B M E S B M M E S B E S B E B E B E B M M E B E S B M M M E S B M E S B M M M E B E B E B E B E S	联合国教科文组织 总干事 阿祖莱 、 法国 总统 马克龙 、 德国总理 朔 尔茨 在 巴黎 出席 世界 文化遗产 大会 ， 故宫博物院 、 卢浮宫 、 大英博物馆 馆长 发表 主旨 演讲 。
相应收入除了自身的累进效果带来的财富分配调节功能，其资金收入用于转移支付则构成进一步的再分配调节。	相 应 收 入 除 了 自 身 的 累 进 效 果 带 来 的 财 富 分 配 调 节 功 能 ， 其 资 金 收 入 用 于 转 移 支 付 则 构 成 进 一 步 的 再 分 配 调 节 。	B E B E B E B E S B E B E B E S B E B E B E B E S S B E B E B E B E B E S B E B M E S S B E B E S	相应 收入 除了 自身 的 累进 效果 带来 的 财富 分配 调节 功能 ， 其 资金 收入 用于 转移 支付 则 构成 进一步 的 再 分配 调节 。
“整部殖民史充斥台湾人民的血泪，难道赖清德完全不知道？	“ 整 部 殖 民 史 充 斥 台 湾 人 民 的 血 泪 ， 难 道 赖 清 德 完 全 不 知 道 ？	S B E B E S B E B E B E S S S S B E B M E B E S B E S	“ 整部 殖民 史 充斥 台湾 人民 的 血 泪 ， 难道 赖清德 完全 不 知道 ？
3月20日，网上群众工作大会在昆明举行。	3 月 2 0 日 ， 网 上 群 众 工 作 大 会 在 昆 明 举 行 。	B E B E S S B E B E B E B E S B E B E S	3月 20 日 ， 网上 群众 工作 大会 在 昆明 举行 。
同时，善用与善治本就是一体两面，不可偏废。	同 时 ， 善 用 与 善 治 本 就 是 一 体 两 面 ， 不 可 偏 废 。	B E S B E S B E S B E B E B E S B M M E S	同时 ， 善用 与 善治 本 就是 一体 两面 ， 不可偏废 。
未来，一方面随着征管力度的加强，其财政收入筹集功能会有所上升；	未 来 ， 一 方 面 随 着 征 管 力 度 的 加 强 ， 其 财 政 收 入 筹 集 功 能 会 有 所 上 升 ；	B E S B M E B E B E B E S B E S S B M M E B E B E S B E B E S	未来 ， 一方面 随着 征管 力度 的 加强 ， 其 财政收入 筹集 功能 会 有所 上升 ；
不过，分析师认为，粮价短期上涨并不足以抵消美以对伊朗发起军事打击给美国农民带来的损失，特别是很多大型粮企已几乎用尽在美国的储粮设施，很难继续进行大宗采购。	不 过 ， 分 析 师 认 为 ， 粮 价 短 期 上 涨 并 不 足 以 抵 消 美 以 对 伊 朗 发 起 军 事 打 击 给 美 国 农 民 带 来 的 损 失 ， 特 别 是 很 多 大 型 粮 企 已 几 乎 用 尽 在 美 国 的 储 粮 设 施 ， 很 难 继 续 进 行 大 宗 采 购 。	B E S B M E B E S B E B E B E B E B E B E S S S B E B E B E B E S B E B E B E S B E S B E S B E B E B E S B E B E S B E S B E B E S B E B E B E B E B E S	不过 ， 分析师 认为 ， 粮价 短期 上涨 并不 足以 抵消 美 以 对 伊朗 发起 军事 打击 给 美国 农民 带来 的 损失 ， 特别 是 很多 大型 粮企 已 几乎 用尽 在 美国 的 储粮 设施 ， 很难 继续 进行 大宗 采购 。
他表示，中国没有必要，也无意通过汇率贬值获取贸易竞争优势。	他 表 示 ， 中 国 没 有 必 要 ， 也 无 意 通 过 汇 率 贬 值 获 取 贸 易 竞 争 优 势 。	S B E S B E B E B E S S B E B E B E B E B E B E B E B E S	他 表示 ， 中国 没有 必要 ， 也 无意 通过 汇率 贬值 获取 贸易 竞争 优势 。
国家主席习近平 10 月 25 日在北京人民大会堂同美国总统拜登举行会谈。	国 家 主 席 习 近 平 1 0 月 2 5 日 在 北 京 人 民 大 会 堂 同 美 国 总 统 拜 登 举 行 会 谈 。	B E B E B M E B M E B E S S B M M M M M E S B E B E B E B M M E S	国家 主席 习近平 10月 25 日 在 北京人民大会堂 同 美国 总统 拜登 举行会谈 。
加强协同、依法惩治，则是“治”的硬度。	加 强 协 同 、 依 法 惩 治 ， 则 是 “ 治 ” 的 硬 度 。	B E B E S B M M E S S S S S S S B E S	加强 协同 、 依法惩治 ， 则 是 “ 治 ” 的 硬度 。
中央纪委国家监委通报：经党中央批准，决定给予财政部原部长刘昆、自然资源部原部长王广华开除党籍、开除公职处分。	中 央 纪 委 国 家 监 委 通 报 ： 经 党 中 央 批 准 ， 决 定 给 予 财 政 部 原 部 长 刘 昆 、 自 然 资 源 部 原 部 长 王 广 华 开 除 党 籍 、 开 除 公 职 处 分 。	B M M E B E B E B E S S B M E B E S B E B E B M E S B E B E S B M M E S S B E S B E B M M E S B M M E B E S	中央纪委 国家 监委 通报 ： 经 党中央 批准 ， 决定 给予 财政部 原 部长 刘昆 、 自然资源 部 原 部长 王 广华 开除党籍 、 开除公职 处分 。
3月15日，中央网信办违法和不良信息举报中心在中国互联网联合辟谣平台开设涉企网络辟谣专区。	3 月 1 5 日 ， 中 央 网 信 办 违 法 和 不 良 信 息 举 报 中 心 在 中 国 互 联 网 联 合 辟 谣 平 台 开 设 涉 企 网 络 辟 谣 专 区 。	B E B E S S B E B E S B E S B M M E B M M E S B E B M E B E B E B E B E B E B E B E B E S	3月 15 日 ， 中央 网信 办 违法 和 不良信息 举报中心 在 中国 互联网 联合 辟谣 平台 开设 涉企 网络 辟谣 专区 。
全国两会后，一场重磅论坛在钓鱼台国宾馆举行。	全 国 两 会 后 ， 一 场 重 磅 论 坛 在 钓 鱼 台 国 宾 馆 举 行 。	B E B E S S S S B E B E S B M M M M E B E S	全国 两会 后 ， 一 场 重磅 论坛 在 钓鱼台国宾馆 举行 。
3月12日下午，十四届全国人大四次会议表决通过了关于国民经济和社会发展第十五个五年规划纲要的决议。	3 月 1 2 日 下 午 ， 十 四 届 全 国 人 大 四 次 会 议 表 决 通 过 了 关 于 国 民 经 济 和 社 会 发 展 第 十 五 个 五 年 规 划 纲 要 的 决 议 。	B E B E S B E S B E S B M M E B M M E B E B E S B E B M M E S B M M E S B E S S S B E B E S B E S	3月 12 日 下午 ， 十四 届 全国人大 四次会议 表决 通过 了 关于 国民经济 和 社会发展 第 十五 个 五 年 规划 纲要 的 决议 。
在昆明斗南花市，智慧种植、AI分拣等技术随处可见，让鲜花从田间到市场更高效，花农的收益也更稳当。	在 昆 明 斗 南 花 市 ， 智 慧 种 植 、 A I 分 拣 等 技 术 随 处 可 见 ， 让 鲜 花 从 田 间 到 市 场 更 高 效 ， 花 农 的 收 益 也 更 稳 当 。	S B E B E B E S B E B E S B E B E S B E B M M E S S B E S B E S B E S B E S B E S B E S S B E S	在 昆明 斗南 花市 ， 智慧 种植 、 AI 分拣 等 技术 随处可见 ， 让 鲜花 从 田间 到 市场 更 高效 ， 花农 的 收益 也 更 稳当 。
世界上最关键的能源运输通道之一——霍尔木兹海峡实际上已陷入停滞。	世 界 上 最 关 键 的 能 源 运 输 通 道 之 一 — — 霍 尔 木 兹 海 峡 实 际 上 已 陷 入 停 滞 。	B E S S B E S B E B E B E B E B E B M M M M E B M E S B E B E S	世界 上 最 关键 的 能源 运输 通道 之一 —— 霍尔木兹海峡 实际上 已 陷入 停滞 。
遇谣则报、有谣必辟，是“用”的效率；	遇 谣 则 报 、 有 谣 必 辟 ， 是 “ 用 ” 的 效 率 ；	S S S S S S S S S S S S S S S B E S	遇 谣 则 报 、 有 谣 必 辟 ， 是 “ 用 ” 的 效率 ；
近些年来，中国个人所得税（下称“个税”）制度越来越完善。	近 些 年 来 ， 中 国 个 人 所 得 税 （ 下 称 “ 个 税 ” ） 制 度 越 来 越 完 善 。	B M M E S B E B M M M E S S S S B E S S B E B M E B E S	近些年来 ， 中国 个人所得税 （ 下 称 “ 个税 ” ） 制度 越来越 完善 。
邻国巴基斯坦也宣布了极端紧缩措施。	邻 国 巴 基 斯 坦 也 宣 布 了 极 端 紧 缩 措 施 。	B E B M M E S B E S B E B E B E S	邻国 巴基斯坦 也 宣布 了 极端 紧缩 措施 。
汇算清缴实践已经表明，即便对个人收入的汇总核实，仍面临“非工资性所得申报不完整”的问题。	汇 算 清 缴 实 践 已 经 表 明 ， 即 便 对 个 人 收 入 的 汇 总 核 实 ， 仍 面 临 “ 非 工 资 性 所 得 申 报 不 完 整 ” 的 问 题 。	B E B E B E B E B E S B E S B M M E S B E B E S S B E S S B M E B E B E S B E S S B E S	汇算 清缴 实践 已经 表明 ， 即便 对 个人收入 的 汇总 核实 ， 仍 面临 “ 非 工资性 所得 申报 不 完整 ” 的 问题 。
充分发挥专项附加扣除政策作用，加大个人所得税抵扣力度。	充 分 发 挥 专 项 附 加 扣 除 政 策 作 用 ， 加 大 个 人 所 得 税 抵 扣 力 度 。	B M M E B E B E B E B E B E S B E B M M M E B E B E S	充分发挥 专项 附加 扣除 政策 作用 ， 加大 个人所得税 抵扣 力度 。
加大税收调节力度和精准性，健全自然人税费服务和监管体系，实行劳动性所得统一征税。	加 大 税 收 调 节 力 度 和 精 准 性 ， 健 全 自 然 人 税 费 服 务 和 监 管 体 系 ， 实 行 劳 动 性 所 得 统 一 征 税 。	B E B E B E B E S B M E S B E B M E B E B E S B E B E S B E B E S B E B E B E S	加大 税收 调节 力度 和 精准性 ， 健全 自然人 税费 服务 和 监管 体系 ， 实行 劳动 性 所得 统一 征税 。
这些跃动的数字背后是千家万户生活变迁可触摸的温度，是居民增收、城乡协调发展的生动注脚。	这 些 跃 动 的 数 字 背 后 是 千 家 万 户 生 活 变 迁 可 触 摸 的 温 度 ， 是 居 民 增 收 、 城 乡 协 调 发 展 的 生 动 注 脚 。	B E B E S B E B E S B M M E B E B E S B E S B E S S B E B E S B E B M M E S B E B E S	这些 跃动 的 数字 背后 是 千家万户 生活 变迁 可 触摸 的 温度 ， 是 居民 增收 、 城乡 协调发展 的 生动 注脚 。
当年，中共中央办公厅、国务院办公厅印发的《关于进一步深化税收征管改革的意见》中，在部署精准实施税务监管时要求，依法加强对高收入高净值人员的税费服务与监管。	当 年 ， 中 共 中 央 办 公 厅 、 国 务 院 办 公 厅 印 发 的 《 关 于 进 一 步 深 化 税 收 征 管 改 革 的 意 见 》 中 ， 在 部 署 精 准 实 施 税 务 监 管 时 要 求 ， 依 法 加 强 对 高 收 入 高 净 值 人 员 的 税 费 服 务 与 监 管 。	B E S B M M M M M E S B M M M M E B E S S B E B M E B E B E B E B E S B E S S S S B E B E B E B E B E S B E S B E B E S B M E B M E B E S B E B E S B E S	当年 ， 中共中央办公厅 、 国务院办公厅 印发 的 《 关于 进一步 深化 税收 征管 改革 的 意见 》 中 ， 在 部署 精准 实施 税务 监管 时 要求 ， 依法 加强 对 高收入 高净值 人员 的 税费 服务 与 监管 。
高收入群体的收入来源多元化，包括薪资、资本收益、股利、投资收益、物业租赁等，涉及众多行业与领域。	高 收 入 群 体 的 收 入 来 源 多 元 化 ， 包 括 薪 资 、 资 本 收 益 、 股 利 、 投 资 收 益 、 物 业 租 赁 等 ， 涉 及 众 多 行 业 与 领 域 。	B M E B E S B E B E B M E S B E B E S B E B E S B E S B M M E S B E B E S S B E B E B E S B E S	高收入 群体 的 收入 来源 多元化 ， 包括 薪资 、 资本 收益 、 股利 、 投资收益 、 物业 租赁 等 ， 涉及 众多 行业 与 领域 。
叶永青表示，个税通过3%至45%的超额累进税率，对高收入群体的劳动所得直接征税，理论上具备显著的“限高”的功能。	叶 永 青 表 示 ， 个 税 通 过 3 % 至 4 5 % 的 超 额 累 进 税 率 ， 对 高 收 入 群 体 的 劳 动 所 得 直 接 征 税 ， 理 论 上 具 备 显 著 的 “ 限 高 ” 的 功 能 。	B M E B E S B E B E S S S B E S S B E B M M E S S B M E B E S B M M E B E B E S B M E B E B E S S B E S S B E S	叶永青 表示 ， 个税 通过 3 % 至 45 % 的 超额 累进税率 ， 对 高收入 群体 的 劳动所得 直接 征税 ， 理论上 具备 显著 的 “ 限高 ” 的 功能 。
作家莫言、余华受邀出席在广州举办的南国书香节，并与中山大学、暨南大学的师生展开文学对话。	作 家 莫 言 、 余 华 受 邀 出 席 在 广 州 举 办 的 南 国 书 香 节 ， 并 与 中 山 大 学 、 暨 南 大 学 的 师 生 展 开 文 学 对 话 。	B E B E S B E B E B E S B E B E S B E B E S S S S B M M E S B M M E S B E B E B E B E S	作家 莫言 、 余华 受邀 出席 在 广州 举办 的 南国 书香 节 ， 并 与 中山大学 、 暨南大学 的 师生 展开 文学 对话 。
为控制影响，印度石油和天然气部命令炼油厂提高液化石油气产量，严格限制国内消费。	为 控 制 影 响 ， 印 度 石 油 和 天 然 气 部 命 令 炼 油 厂 提 高 液 化 石 油 气 产 量 ， 严 格 限 制 国 内 消 费 。	S B E B E S B E B E S B M E S B E B M E B E B E B M E B E S B E B E B E B E S	为 控制 影响 ， 印度 石油 和 天然气 部 命令 炼油厂 提高 液化 石油气 产量 ， 严格 限制 国内 消费 。
我国人工智能在基础理论、关键核心技术等方面还存在短板弱项，集中力量攻克高端芯片、基础软件等核心技术刻不容缓。	我 国 人 工 智 能 在 基 础 理 论 、 关 键 核 心 技 术 等 方 面 还 存 在 短 板 弱 项 ， 集 中 力 量 攻 克 高 端 芯 片 、 基 础 软 件 等 核 心 技 术 刻 不 容 缓 。	B E B M M E S B E B E S B E B M M E S B E S B E B E B E S B M M E B E B E B E S B E B E S B M M E B M M E S	我国 人工智能 在 基础 理论 、 关键 核心技术 等 方面 还 存在 短板 弱项 ， 集中力量 攻克 高端 芯片 、 基础 软件 等 核心技术 刻不容缓 。
北京航空航天大学、西北工业大学、哈尔滨工业大学、南京航空航天大学在西安成立航空航天人才培养联盟，教育部副部长翁铁慧出席并授牌。	北 京 航 空 航 天 大 学 、 西 北 工 业 大 学 、 哈 尔 滨 工 业 大 学 、 南 京 航 空 航 天 大 学 在 西 安 成 立 航 空 航 天 人 才 培 养 联 盟 ， 教 育 部 副 部 长 翁 铁 慧 出 席 并 授 牌 。	B M M M M M M E S B M M M M E S B M M M M M E S B M M M M M M E S B E B E B M M E B M M E B E S B M E B M E B M E B E S B E S	北京航空航天大学 、 西北工业大学 、 哈尔滨工业大学 、 南京航空航天大学 在 西安 成立 航空航天 人才培养 联盟 ， 教育部 副部长 翁铁慧 出席 并 授牌 。
据报道，台海军“2026年度敦睦远航训练支队”已启航，赴中南美地区所谓“邦交国”执行“大敦睦”任务。	据 报 道 ， 台 海 军 “ 2 0 2 6 年 度 敦 睦 远 航 训 练 支 队 ” 已 启 航 ， 赴 中 南 美 地 区 所 谓 “ 邦 交 国 ” 执 行 “ 大 敦 睦 ” 任 务 。	S B E S B M E S B M M E B E B E B E B E B E S S B E S S B M E B E B E S B M E S B E S S B E S B E S	据 报道 ， 台海军 “ 2026 年度 敦睦 远航 训练 支队 ” 已 启航 ， 赴 中南美 地区 所谓 “ 邦交国 ” 执行 “ 大 敦睦 ” 任务 。
2月15日至23日春节假期期间，全国民航累计运输旅客2205万人次，日均245万人次，比2025年春运同期增长7.7%，比春运总体增幅高3.1个百分点。	2 月 1 5 日 至 2 3 日 春 节 假 期 期 间 ， 全 国 民 航 累 计 运 输 旅 客 2 2 0 5 万 人 次 ， 日 均 2 4 5 万 人 次 ， 比 2 0 2 5 年 春 运 同 期 增 长 7 . 7 % ， 比 春 运 总 体 增 幅 高 3 . 1 个 百 分 点 。	B E B E S S B E S B M M E B E S B E B E B E B E B E B M M E S B E S B E B M E S B E S S B M M E S B E B E B E B M E S S S B E B E B E S B M E S B M E S	2月 15 日 至 23 日 春节假期 期间 ， 全国 民航 累计 运输 旅客 2205 万 人次 ， 日均 245 万 人次 ， 比 2025 年 春运 同期 增长 7.7 % ， 比 春运 总体 增幅 高 3.1 个 百分点 。
群众在网上的每一条留言、每一个建议，都是实实在在的民生。	群 众 在 网 上 的 每 一 条 留 言 、 每 一 个 建 议 ， 都 是 实 实 在 在 的 民 生 。	B E S B E S S S S B E S S B E B E S S S B M M E S B E S	群众 在 网上 的 每 一 条 留言 、 每 一个 建议 ， 都 是 实实在在 的 民生 。
三是收入来源覆盖不完整，资本所得、财产所得管控相对薄弱，高收入群体通过资本渠道获取的收入税负明显低于其劳动所得。	三 是 收 入 来 源 覆 盖 不 完 整 ， 资 本 所 得 、 财 产 所 得 管 控 相 对 薄 弱 ， 高 收 入 群 体 通 过 资 本 渠 道 获 取 的 收 入 税 负 明 显 低 于 其 劳 动 所 得 。	S S B E B E B E S B E S B E B E S B E B E B E B E B E S B M E B E B E B E B E B E S B E B E B E B E S B M M E S	三 是 收入 来源 覆盖 不 完整 ， 资本 所得 、 财产 所得 管控 相对 薄弱 ， 高收入 群体 通过 资本 渠道 获取 的 收入 税负 明显 低于 其 劳动所得 。
深化金融市场互联互通、支付系统跨境互联，便利更多投资者投资中国金融市场。	深 化 金 融 市 场 互 联 互 通 、 支 付 系 统 跨 境 互 联 ， 便 利 更 多 投 资 者 投 资 中 国 金 融 市 场 。	B E B M M E B M M E S B E B E B E B E S B E B E B M E B E B E B M M E S	深化 金融市场 互联互通 、 支付 系统 跨境 互联 ， 便利 更多 投资者 投资 中国 金融市场 。
更令人欣慰的是，城乡收入差距这个大问题有所改善：2025年，农村居民人均可支配收入实际增速快于城镇居民1.8个百分点。	更 令 人 欣 慰 的 是 ， 城 乡 收 入 差 距 这 个 大 问 题 有 所 改 善 ： 2 0 2 5 年 ， 农 村 居 民 人 均 可 支 配 收 入 实 际 增 速 快 于 城 镇 居 民 1 . 8 个 百 分 点 。	S B M M E S S S B E B E B E B E S B E B M M E S B M M E S S B M M E B E B M E B E B E B E S B M E B E B M E S B M E S	更 令人欣慰 的 是 ， 城乡 收入 差距 这个 大 问题 有所改善 ： 2025 年 ， 农村居民 人均 可支配 收入 实际 增速 快 于城镇 居民 1.8 个 百分点 。
霍尔木兹海峡承担了全球约三分之一的海运化肥贸易。	霍 尔 木 兹 海 峡 承 担 了 全 球 约 三 分 之 一 的 海 运 化 肥 贸 易 。	B M M M M E B E S B E S S B M E S B E B E B E S	霍尔木兹海峡 承担 了 全球 约 三 分之一 的 海运 化肥 贸易 。
2026年春运期间，全国民航累计运输旅客9439万人次，日均236万人次，比2025年春运同期增长4.6%；	2 0 2 6 年 春 运 期 间 ， 全 国 民 航 累 计 运 输 旅 客 9 4 3 9 万 人 次 ， 日 均 2 3 6 万 人 次 ， 比 2 0 2 5 年 春 运 同 期 增 长 4 . 6 % ；	B M M E S B M M E S B E B E B E B E B E B M M E S B E S B E B M E S B E S S B M M E S B E B E B E B M E S S	2026 年 春运期间 ， 全国 民航 累计 运输 旅客 9439 万 人次 ， 日均 236 万 人次 ， 比 2025 年 春运 同期 增长 4.6 % ；
这些年来，云南运用网络数字技术，持续答好“群众持续增收之问”，扎实推进乡村全面振兴。	这 些 年 来 ， 云 南 运 用 网 络 数 字 技 术 ， 持 续 答 好 “ 群 众 持 续 增 收 之 问 ” ， 扎 实 推 进 乡 村 全 面 振 兴 。	B M M E S B E B E B E B E B E S B E B E S B E B E B E S S S S B E B E B E B E B E S	这些年来 ， 云南 运用 网络 数字 技术 ， 持续 答好 “ 群众 持续 增收 之 问 ” ， 扎实 推进 乡村 全面 振兴 。
《以色列时报》称，伊朗21日对阿拉德和迪莫纳发动空袭，以防空系统未能拦截至少两枚弹道导弹，造成多人受伤。	《 以 色 列 时 报 》 称 ， 伊 朗 2 1 日 对 阿 拉 德 和 迪 莫 纳 发 动 空 袭 ， 以 防 空 系 统 未 能 拦 截 至 少 两 枚 弹 道 导 弹 ， 造 成 多 人 受 伤 。	S B M E B E S S S B E B E S S B M E S B M E B E B E S S B E B E B E B E B E S S B M M E S B E S S B E S	《 以色列 时报 》 称 ， 伊朗 21 日 对 阿拉德 和 迪莫纳 发动 空袭 ， 以 防空 系统 未能 拦截 至少 两 枚 弹道导弹 ， 造成 多 人 受伤 。
” 3月20日，网上群众工作大会在昆明举行。	” 3 月 2 0 日 ， 网 上 群 众 工 作 大 会 在 昆 明 举 行 。	S B E B E S S B E B E B E B E S B E B E S	” 3月 20 日 ， 网上 群众 工作 大会 在 昆明 举行 。
AI红包大战的硝烟已经散去，思考才刚刚开始。	A I 红 包 大 战 的 硝 烟 已 经 散 去 ， 思 考 才 刚 刚 开 始 。	B E B E B E S B E B E B E S B E S B M M E S	AI 红包 大战 的 硝烟 已经 散去 ， 思考 才 刚刚开始 。
今年以来，人民币对美元汇率升值约1.3%，对欧元升值3.7%、对日元升值3.2%、对英镑升值2.4%。	今 年 以 来 ， 人 民 币 对 美 元 汇 率 升 值 约 1 . 3 % ， 对 欧 元 升 值 3 . 7 % 、 对 日 元 升 值 3 . 2 % 、 对 英 镑 升 值 2 . 4 % 。	B M M E S B M E S B M M E B E S B M E S S S B E B E B M E S S B M E B E B M E S S S B E B E B M E S S	今年以来 ， 人民币 对 美元汇率 升值 约 1.3 % ， 对 欧元 升值 3.7 % 、 对日元 升值 3.2 % 、 对 英镑 升值 2.4 % 。
今年元旦，嘉兴嘉善县优家村村民股东排队领“开年红包”的场景令人印象深刻。	今 年 元 旦 ， 嘉 兴 嘉 善 县 优 家 村 村 民 股 东 排 队 领 “ 开 年 红 包 ” 的 场 景 令 人 印 象 深 刻 。	B E B E S B E B M E S B E B E B E B E S S S S B E S S B E B E B E B E S	今年 元旦 ， 嘉兴 嘉善县 优 家村 村民 股东 排队 领 “ 开 年 红包 ” 的 场景 令人 印象 深刻 。
蒋斌还指出，所谓“敦睦”只是民进党当局“倚外谋独”的借口。	蒋 斌 还 指 出 ， 所 谓 “ 敦 睦 ” 只 是 民 进 党 当 局 “ 倚 外 谋 独 ” 的 借 口 。	B E S B E S B E S B E S B E B M E B E S S S S S S S B E S	蒋斌 还 指出 ， 所谓 “ 敦睦 ” 只是 民进党 当局 “ 倚 外 谋 独 ” 的 借口 。
上海市市长龚正会见马斯克，双方就新能源汽车产业合作交换意见。	上 海 市 市 长 龚 正 会 见 马 斯 克 ， 双 方 就 新 能 源 汽 车 产 业 合 作 交 换 意 见 。	B M E B E B E B E B M E S B E S B M E B M M E B E B M M E S	上海市 市长 龚正 会见 马斯克 ， 双方 就 新能源 汽车产业 合作 交换意见 。
厦门市民马丽芹表示，地震发生时，家中悬挂物出现小幅摇晃。	厦 门 市 民 马 丽 芹 表 示 ， 地 震 发 生 时 ， 家 中 悬 挂 物 出 现 小 幅 摇 晃 。	B E B E B M E B E S B E B E S S B E B M E B E B E B E S	厦门 市民 马丽芹 表示 ， 地震 发生 时 ， 家中 悬挂物 出现 小幅 摇晃 。
外交部部长王毅同美国国务卿布林肯、日本外相上川阳子、韩国外长崔泳杉在首尔举行美日韩三方外长对话，就朝鲜半岛及地区安全交换意见。	外 交 部 部 长 王 毅 同 美 国 国 务 卿 布 林 肯 、 日 本 外 相 上 川 阳 子 、 韩 国 外 长 崔 泳 杉 在 首 尔 举 行 美 日 韩 三 方 外 长 对 话 ， 就 朝 鲜 半 岛 及 地 区 安 全 交 换 意 见 。	B M E B E B E S B E B M E S B E S B E B E B E B E S B E B E B M E S B E B E B M E S S B E B E S S B M M E S B E B E B M M E S	外交部 部长 王毅 同 美国 国务卿 布 林肯 、 日本 外相 上川 阳子 、 韩国 外长 崔泳杉 在 首尔 举行 美日韩 三 方 外长 对话 ， 就 朝鲜半岛 及 地区 安全 交换意见 。
近日，三亚市自然资源和规划局发布《关于加强防范房地产自媒体虚假不实宣传的购房风险提示》。	近 日 ， 三 亚 市 自 然 资 源 和 规 划 局 发 布 《 关 于 加 强 防 范 房 地 产 自 媒 体 虚 假 不 实 宣 传 的 购 房 风 险 提 示 》 。	B E S B M E B M M E S B M E B E S B E B E B E B M E S B E B E B E B E S B E B E B E S S	近日 ， 三亚市 自然资源 和 规划局 发布 《 关于 加强 防范 房地产 自 媒体 虚假 不实 宣传 的 购房 风险 提示 》 。
2015年除夕，微信“摇一摇”红包当天互动超110亿次，短时间内绑卡用户突破2亿。	2 0 1 5 年 除 夕 ， 微 信 “ 摇 一 摇 ” 红 包 当 天 互 动 超 1 1 0 亿 次 ， 短 时 间 内 绑 卡 用 户 突 破 2 亿 。	B M M E S B E S B E S S S S S B E B E B E S B M E S S S B M E S S S B E B E S S S	2015 年 除夕 ， 微信 “ 摇 一 摇 ” 红包 当天 互动 超 110 亿 次 ， 短时间 内 绑 卡 用户 突破 2 亿 。
春节前夕，个别人工智能平台出现的系统崩溃，表面看是算力不足的偶发事件，实质反映的正是AI基础设施仍有待完善。	春 节 前 夕 ， 个 别 人 工 智 能 平 台 出 现 的 系 统 崩 溃 ， 表 面 看 是 算 力 不 足 的 偶 发 事 件 ， 实 质 反 映 的 正 是 A I 基 础 设 施 仍 有 待 完 善 。	B M M E S B E B M M E B E B E S B E B E S B E S S S S B E S B M M E S B E B E S B E B E B M M E S B E B E S	春节前夕 ， 个别 人工智能 平台 出现 的 系统 崩溃 ， 表面 看 是 算 力 不足 的 偶发事件 ， 实质 反映 的 正是 AI 基础设施 仍 有待 完善 。
